WELLID,X,Y
MM_RC150,340590.09,3559679.87
MM_RC16,328603.96,3579159.62
MM_RC162,338685.26,3558539.48
MM_RC174,339032.89,3555669.23
MM_RC179,343973.84,3554791.30
MM_RC190,340253.23,3553247.36
MM_RC191,340253.23,3553247.36
MM_RC193,344749.71,3552376.87
MM_RC199,341594.29,3551809.51
MM_RC20,331188.99,3578900.28
MM_RC200,341946.03,3550818.33
MM_RC202,345013.73,3550771.15
MM_RC208,344071.09,3549153.03
MM_RC209,346436.41,3549152.24
MM_RC211,345329.86,3549133.83
MM_RC215,346436.41,3549152.24
MM_RC216,346436.41,3549152.24
MM_RC220,340753.40,3548341.85
MM_RC225,346249.72,3547518.23
MM_RC231,346881.39,3545907.05
MM_RC233,346647.95,3544339.62
MM_RC234,347041.51,3544333.71
MM_RC244,348938.46,3543073.49
MM_RC245,341457.99,3543032.94
MM_RC246,342925.99,3542917.76
MM_RC31,327349.16,3577671.51
MM_RC32,332968.29,3577361.27
MM_RC34,326314.97,3576857.47
MM_RC38,329994.40,3576301.93
MM_RC44,327036.64,3575580.87
MM_RC46,331945.77,3575653.18
MM_RC5,326061.66,3580373.79
MM_RC60,330200.25,3574542.54
MM_RC7,329901.88,3580123.34
MM_RC71,333477.05,3573317.40
MM_RC8,329169.30,3580105.02
MM_RC86,327306.24,3572096.29
MM_RC9,329168.77,3580074.20
MM_RC90,326592.81,3571708.03
MM_RC91,332794.00,3571572.79
MM_RC98,331513.31,3570115.42
RV_RC107,294124.97,3617212.43
RV_RC109,294065.07,3617174.39
RV_RC116,298231.28,3616635.30
RV_RC120,301439.85,3616420.21
RV_RC126,305281.54,3615971.13
RV_RC127,302352.40,3615474.23
RV_RC130,305774.94,3615290.71
RV_RC134,307258.93,3614834.47
RV_RC140,308101.88,3613543.99
RV_RC142,308139.61,3612623.03
RV_RC148,311615.63,3611173.27
RV_RC152,311849.60,3609066.56
RV_RC27,284407.12,3635281.98
RV_RC3,284030.52,3641957.29
RV_RC33,283954.72,3633730.49
RV_RC44,285495.52,3631121.57
RV_RC58,286384.84,3628161.32
RV_RC6,284310.37,3641673.79
RV_RC70,287116.14,3625866.03
RV_RC74,287642.19,3624867.80
RV_RC87,290945.47,3620945.72
UM_RC10,321650.77,3593358.69
UM_RC15,323160.77,3589419.92
UM_RC16,326919.77,3587690.93
UM_RC17,326918.18,3587598.57
UM_RC18,325804.33,3586662.79
UM_RC22,326559.55,3584986.13
UM_RC5,319421.17,3595062.73
UM_RC9,322122.70,3594244.25
